PSRJ|S728|e_S728|S1382|e_S1382|S3100|e_S3100
 |mJy|mJy|mJy|mJy|mJy|mJy
-----------|-------|------|--------|------|-------|------
J1741-2733 |   6.00|  2.00|        |      |  0.200|
J1741-3016 |       |      |        |      |  0.290| 0.050
J1741-3927 |  19.00|  3.00|        |      |  2.000| 0.400
J1743-3150 |   9.00|  2.00|        |      |  0.310| 0.080
J1744-1134 |  12.00|  9.00|  13.000| 8.000|  0.300| 0.300
J1744-3130 |   1.80|  0.40|        |      |  0.350| 0.080
J1745-3040 |       |      |  21.000| 1.000|  4.200| 0.700
J1748-1300 |  11.00|  2.00|        |      |  0.300| 0.200
J1749-3002 |  11.00|  2.00|        |      |  1.000| 0.200
J1751-3323 |   1.50|  0.20|        |      |  0.900| 0.100
J1751-4657 |  30.00| 10.00|        |      |  0.400| 0.200
J1752-2806 | 350.00| 50.00|        |      |  5.000| 2.000
J1755-2521 |   1.00|      |        |      |       |
J1756-2435 |   6.00|  1.00|        |      |  0.400| 0.070
J1757-2223 |       |      |        |      |  0.340| 0.080
J1757-2421 |       |      |   7.200| 0.400|  2.200| 0.300
J1758-2630 |       |      |        |      |  0.030|
J1759-1956 |   1.70|  0.30|        |      |  0.100| 0.020
J1759-2205 |       |      |        |      |  0.500| 0.100
J1759-3107 |   4.00|  0.70|        |      |  0.380| 0.090
J1801-2154 |       |      |   0.210| 0.020|  0.069| 0.009
J1801-2304 |       |      |   7.000| 0.500|  1.600| 0.100
J1801-2451 |       |      |   1.460| 0.090|  0.220| 0.030
J1801-2920 |   7.00|  1.00|        |      |  0.420| 0.080
J1803-1857 |   5.00|      |        |      |  0.300|
J1803-2137 |       |      |  15.000| 1.000|  8.000| 1.000
J1805-1504 |  14.00|  3.00|        |      |       |
J1806-1154 |   8.00|  2.00|        |      |  0.400| 0.100
J1806-2125 |       |      |   0.800| 0.040|  0.160| 0.020
J1807-0847 |  34.00|  6.00|        |      |  4.000| 1.000
J1807-2459A|   0.20|      |        |      |  0.300| 0.100
J1808-0813 |   7.00|  1.00|        |      |  0.230| 0.040
J1808-2057 |  16.00|  2.00|        |      |  1.000| 0.100
J1809-1429 |   3.50|  0.50|        |      |  0.240| 0.040
J1809-1917 |       |      |   2.800| 0.200|  2.100| 0.300
J1809-2109 |       |      |        |      |  0.280| 0.050
J1809-3547 |  20.00| 10.00|        |      |       |
J1810-5338 |  12.00|  3.00|        |      |  0.500| 0.200
J1812-1718 |       |      |        |      |  0.200| 0.040
J1812-1733 |  11.00|  2.00|        |      |  1.000| 0.100
J1812-1910 |       |      |   0.280| 0.020|  0.076| 0.009
J1812-2102 |       |      |        |      |  0.510| 0.080
J1815-1738 |       |      |   0.400| 0.030|  0.140| 0.020
J1817-3618 |   7.00|  4.00|        |      |  0.400| 0.200
J1817-3837 |   9.00|  4.00|        |      |  0.600| 0.100
J1818-1519 |   0.20|      |        |      |  0.020|
J1820-1529 |       |      |   0.830| 0.080|  0.230| 0.020
J1822-2256 |  16.00|  4.00|        |      |  1.000| 0.300
J1822-4209 |   2.30|  0.80|        |      |  0.300| 0.100
J1823-1115 |  11.00|  1.00|        |      |  1.000| 0.100
J1823-3106 |  11.00|  3.00|        |      |  1.200| 0.400
J1824-1118 |   6.20|  0.80|        |      |  0.440| 0.070
J1824-1945 |       |      |   7.800| 0.400|  1.300| 0.200
J1825-1446 |       |      |   2.900| 0.200|  1.900| 0.300
J1826-1334 |       |      |   4.700| 0.200|  3.000| 0.400
J1827-0750 |   7.00|  1.00|        |      |  0.700| 0.100
J1828-0611 |   3.60|  0.60|        |      |  0.430| 0.080
J1828-1057 |       |      |   0.330| 0.040|  0.170| 0.030
J1828-1101 |       |      |   2.300| 0.200|  1.400| 0.200
J1829-1751 |  28.00|  6.00|        |      |  3.000| 0.700
J1830-1059 |       |      |   1.500| 0.100|  0.600| 0.100
J1831-0823 |   3.40|  0.70|        |      |  0.210| 0.050
J1831-0952 |       |      |   0.350| 0.040|       |
J1831-1223 |   3.70|  0.60|        |      |  0.240| 0.050
J1832-0644 |   0.10|      |        |      |  1.500| 0.200
J1832-0827 |       |      |   4.000| 0.300|  1.500| 0.200
J1833-0338 |  14.00|  3.00|        |      |  0.350| 0.050
J1833-0827 |       |      |   6.900| 0.400|  1.900| 0.200
J1834-0731 |       |      |   1.300| 0.100|  0.370| 0.050
J1834-1710 |   4.00|  1.00|        |      |  0.170| 0.050
J1835-0643 |       |      |   2.300| 0.200|  0.600| 0.200
J1835-1020 |       |      |        |      |  0.900| 0.300
J1835-1106 |       |      |   2.500| 0.200|  0.500| 0.100
J1836-0436 |   3.30|  0.70|        |      |  0.700| 0.200
J1836-1008 |       |      |        |      |  0.500| 0.100
J1837-0559 |       |      |   0.580| 0.040|  0.130| 0.020
J1837-0604 |       |      |   0.750| 0.060|  0.380| 0.040
J1837-0653 |  13.00|  2.00|        |      |  0.800| 0.200
J1838-0453 |       |      |   0.400| 0.050|  0.090| 0.010
J1838-0549 |       |      |   0.420| 0.040|  0.140| 0.020
J1839-0321 |       |      |   0.270| 0.030|  0.066| 0.009
J1839-0643 |   2.00|      |        |      |  0.560| 0.090
J1839-0905 |       |      |   0.220| 0.020|  0.110| 0.020
J1840-0809 |   5.00|  0.80|        |      |  0.800| 0.100
J1840-0815 |   9.00|  2.00|        |      |  0.500| 0.100
J1841-0425 |       |      |   3.300| 0.200|  0.720| 0.090
J1841-0524 |       |      |   0.200| 0.040|  0.048| 0.007
